,checking,month,credit_history,purpose,credit_amount,savings,employment_length,installment_rate,sex_marital_status,debtors,resident_length,property,age,installment_plan,housing,num_of_credit,job,liables,telephone,foreign_worker,target
0,0,6,4,6,1169,1,0,4,3,2,4,0,67,1,2,2,1,1,1,0,1
1,1,48,2,6,5951,2,2,2,4,2,2,0,22,1,2,1,1,1,0,0,2
2,3,12,4,1,2096,2,1,2,3,2,3,0,49,1,2,1,2,2,0,0,1
3,0,42,2,5,7882,2,1,2,3,1,4,1,45,1,1,1,1,2,0,0,1
4,0,24,3,7,4870,2,2,3,3,2,4,3,53,1,1,2,1,2,0,0,2
5,3,36,2,1,9055,1,2,2,3,2,4,3,35,1,1,1,2,2,1,0,1
6,3,24,2,5,2835,4,0,3,3,2,4,1,53,1,2,1,1,1,0,0,1
7,1,36,2,8,6948,2,2,2,3,2,2,2,35,1,0,1,0,1,1,0,1
8,3,12,2,6,3059,0,1,2,2,2,4,0,61,1,2,1,2,1,0,0,1
9,1,30,4,7,5234,2,4,4,1,2,2,2,28,1,2,2,0,1,0,0,2
10,1,12,2,7,1295,2,3,3,4,2,1,2,25,1,0,1,1,1,0,0,2
11,0,48,2,10,4308,2,3,3,4,2,4,1,24,1,0,1,1,1,0,0,2
12,1,12,2,6,1567,2,2,1,4,2,1,2,22,1,2,1,1,1,1,0,1
13,0,24,4,7,1199,2,0,4,3,2,4,2,60,1,2,2,2,1,0,0,2
14,0,15,2,7,1403,2,2,2,4,2,4,2,28,1,0,1,1,1,0,0,1
15,0,24,2,6,1282,3,2,4,4,2,2,2,32,1,2,1,2,1,0,0,2
16,3,24,4,6,2424,1,0,4,3,2,4,1,53,1,2,2,1,1,0,0,1
17,0,30,0,10,8072,1,3,2,3,2,3,2,25,2,2,3,1,1,0,0,1
18,1,24,2,8,12579,2,0,4,4,2,2,3,44,1,1,1,0,1,1,0,2
19,3,24,2,6,3430,4,0,3,3,2,2,2,31,1,2,1,1,2,1,0,1
20,3,9,4,7,2134,2,2,4,3,2,4,2,48,1,2,3,1,1,1,0,1
21,0,6,2,6,2647,4,2,2,3,2,3,0,44,1,0,1,1,2,0,0,1
22,0,10,4,7,2241,2,3,1,3,2,3,0,48,1,0,2,2,2,0,1,1
23,1,12,4,8,1804,3,3,3,3,2,4,1,44,1,2,1,1,1,0,0,1
24,3,10,4,5,2069,1,2,2,1,2,1,2,26,1,2,2,1,1,0,1,1
25,0,6,2,5,1374,2,2,1,3,2,2,0,36,2,2,1,2,1,1,0,1
26,3,6,0,6,426,2,0,4,1,2,4,2,39,1,2,1,2,1,0,0,1
27,2,12,1,6,409,0,2,3,4,2,3,0,42,1,0,2,1,1,0,0,1
28,1,7,2,6,2415,2,2,3,3,1,2,0,34,1,2,1,1,1,0,0,1
29,0,60,3,10,6836,2,0,3,3,2,4,3,63,1,2,2,1,1,1,0,2
30,1,18,2,10,1913,0,3,3,1,2,3,0,36,2,2,1,1,1,1,0,1
31,0,24,2,5,4020,2,2,2,3,2,2,2,27,0,2,1,1,1,0,0,1
32,1,18,2,7,5866,3,2,2,3,2,2,2,30,1,2,2,1,1,1,0,1
33,3,12,4,10,1264,1,0,4,3,2,4,3,57,1,0,1,2,1,0,0,1
34,2,12,2,5,1474,2,3,4,4,2,1,1,33,2,2,1,0,1,1,0,1
35,1,45,4,6,4746,2,3,4,3,2,2,1,25,1,2,2,2,1,0,0,2
36,3,48,4,1,6110,2,2,1,3,2,3,3,31,2,1,1,1,1,1,0,1
37,2,18,2,6,2100,2,2,4,3,0,2,0,37,0,2,1,1,1,0,0,2
38,2,10,2,3,1225,2,2,2,3,2,2,2,37,1,2,1,1,1,1,0,1
39,1,9,2,6,458,2,2,4,3,2,3,0,24,1,2,1,1,1,0,0,1
40,3,30,2,6,2333,4,0,4,3,2,2,2,30,2,2,1,0,1,0,0,1
41,1,12,2,6,1158,4,2,3,2,2,1,2,26,1,2,1,1,1,1,0,1
42,1,18,3,4,6204,2,2,2,3,2,4,0,44,1,2,1,2,2,1,0,1
43,0,30,4,8,6187,3,1,1,1,2,4,2,24,1,0,2,1,1,0,0,1
44,0,48,4,8,6143,2,0,4,4,2,4,3,58,0,1,2,2,1,0,0,2
45,3,11,4,7,1393,2,3,4,4,2,4,2,35,1,2,2,0,1,0,0,1
46,3,36,2,6,2299,4,0,4,3,2,4,2,39,1,2,1,1,1,0,0,1
47,0,6,2,8,1352,4,4,1,4,2,2,1,23,1,0,1,3,1,1,0,1
48,3,11,4,7,7228,2,2,1,3,2,4,1,39,1,2,2,2,1,0,0,1
49,3,12,2,6,2073,3,2,4,4,0,2,0,28,1,2,1,1,1,0,0,1
50,1,24,3,5,2333,1,3,4,3,2,2,1,29,2,2,1,2,1,0,0,1
51,1,27,3,8,5965,2,0,1,3,2,2,2,30,1,2,2,0,1,1,0,1
52,3,12,2,6,1262,2,2,3,3,2,2,2,25,1,2,1,1,1,0,0,1
53,3,18,2,8,3378,1,2,2,3,2,1,1,31,1,2,1,1,1,1,0,1
54,1,36,3,7,2225,2,0,4,3,2,4,3,57,2,1,2,1,1,1,0,2
55,3,6,1,7,783,1,2,1,3,1,2,0,26,0,2,1,2,2,0,0,1
56,1,12,2,6,6468,1,4,2,3,2,1,3,52,1,2,1,0,1,1,0,2
57,3,36,4,6,9566,2,2,2,4,2,2,2,31,0,2,2,1,1,0,0,1
58,2,18,2,7,1961,2,0,3,4,2,2,2,23,1,2,1,0,1,0,0,1
59,0,36,4,5,6229,2,3,4,4,0,4,3,23,1,0,2,2,1,1,0,2
60,1,9,2,10,1391,2,2,2,1,2,1,0,27,2,2,1,1,1,1,0,1
61,1,15,4,6,1537,1,0,4,3,1,4,0,50,1,2,2,1,1,1,0,1
62,1,36,0,10,1953,2,0,4,3,2,4,3,61,1,1,1,0,1,1,0,2
63,1,48,0,10,14421,2,2,2,3,2,2,2,25,1,2,1,1,1,1,0,2
64,3,24,2,6,3181,2,3,4,4,2,4,1,26,1,2,1,1,1,1,0,1
65,3,27,2,4,5190,1,0,4,3,2,4,1,48,1,2,4,1,2,1,0,1
66,3,12,2,6,2171,2,3,2,4,2,2,2,29,2,2,1,1,1,0,0,1
67,1,12,2,7,1007,0,2,4,1,2,1,0,22,1,2,1,1,1,0,0,1
68,3,36,2,1,1819,2,2,4,3,2,4,3,37,0,1,1,1,1,1,0,2
69,3,36,2,6,2394,1,2,4,4,2,4,2,25,1,2,1,1,1,0,0,1
70,3,36,2,8,8133,2,2,1,4,2,2,1,30,2,2,1,1,1,0,0,1
71,3,7,4,6,730,1,0,4,3,2,2,1,46,1,0,2,2,1,1,0,1
72,0,8,4,0,1164,2,0,3,3,2,4,3,51,2,1,2,0,2,1,0,1
73,1,42,4,10,5954,2,1,2,4,2,1,0,41,2,2,2,2,1,0,0,1
74,0,36,2,1,1977,1,0,4,3,2,4,3,40,1,2,1,0,1,1,0,2
75,0,12,4,8,1526,2,0,4,3,2,4,3,66,1,1,2,0,1,0,0,1
76,0,42,2,6,3965,2,3,4,3,2,3,2,34,1,2,1,1,1,0,0,2
77,1,11,3,6,4771,2,1,2,3,2,4,1,51,1,2,1,1,1,0,0,1
78,3,54,0,8,9436,1,2,2,3,2,2,1,39,1,2,1,2,2,0,0,1
79,1,30,2,5,3832,2,3,2,1,2,1,1,22,1,2,1,1,1,0,0,1
80,3,24,2,6,5943,1,3,1,4,2,1,2,44,1,2,2,1,1,1,0,2
81,3,15,2,6,1213,4,0,4,3,2,3,1,47,0,2,1,1,1,1,0,1
82,3,18,2,10,1568,3,2,3,4,2,4,1,24,1,0,1,2,1,0,0,1
83,0,24,2,0,1755,2,0,4,4,1,4,0,58,1,2,1,2,1,1,0,1
84,0,10,2,6,2315,2,0,3,3,2,4,0,52,1,2,1,2,1,0,0,1
85,3,12,4,10,1412,2,2,4,4,1,2,0,29,1,2,2,0,1,1,0,1
86,1,18,4,5,1295,2,3,4,4,2,1,1,27,1,2,2,1,1,0,0,1
87,1,36,2,1,12612,3,2,1,3,2,4,3,47,1,1,1,1,2,1,0,2
88,0,18,2,7,2249,3,1,4,3,2,3,2,30,1,2,1,0,2,1,0,1
89,0,12,0,4,1108,2,1,4,3,2,3,0,28,1,2,2,1,1,0,0,2
90,3,12,4,6,618,2,0,4,3,2,4,0,56,1,2,1,1,1,0,0,1
91,0,12,4,8,1409,2,0,4,3,2,3,0,54,1,2,1,1,1,0,0,1
92,3,12,4,6,797,1,0,4,4,2,3,1,33,2,2,1,2,2,0,0,2
93,2,24,4,5,3617,1,0,4,3,0,4,3,20,1,0,2,1,1,0,0,1
94,1,12,2,7,1318,0,0,4,3,2,4,0,54,1,2,1,1,1,1,0,1
95,1,54,0,10,15945,2,3,3,3,2,4,3,58,1,0,1,1,1,1,0,2
96,3,12,4,1,2012,1,1,4,4,2,2,2,61,1,2,1,1,1,0,0,1
97,1,18,2,10,2622,3,2,4,3,2,4,2,34,1,2,1,1,1,0,0,1
98,1,36,4,6,2337,2,0,4,3,2,4,0,36,1,2,1,1,1,0,0,1
99,1,20,3,8,7057,1,1,3,3,2,4,1,36,2,0,2,0,2,1,0,1
100,3,24,2,7,1469,3,0,4,1,2,4,0,41,1,0,1,2,1,0,0,1
101,1,36,2,6,2323,2,1,4,3,2,4,2,24,1,0,1,1,1,0,0,1
102,3,6,3,6,932,2,2,3,4,2,2,0,24,1,2,1,1,1,0,0,1
103,1,9,4,5,1919,2,1,4,3,2,3,2,35,1,0,1,1,1,1,0,1
104,3,12,2,8,2445,1,3,2,1,2,4,2,26,1,0,1,1,1,1,0,1
105,1,24,4,0,11938,2,2,2,3,0,3,2,39,1,2,2,0,2,1,0,2
106,3,18,1,7,6458,2,0,2,3,2,4,3,39,2,2,2,0,2,1,0,2
107,1,12,2,7,6078,2,1,2,3,2,2,2,32,1,2,1,1,1,0,0,1
108,0,24,2,5,7721,1,3,1,4,2,2,1,30,1,2,1,1,1,1,1,1
109,1,14,2,10,1410,4,0,1,1,2,2,0,35,1,2,1,1,1,1,0,1
110,1,6,3,10,1449,3,0,1,2,2,2,2,31,2,2,2,1,2,0,0,1
111,2,15,2,1,392,2,3,4,4,2,4,1,23,1,0,1,1,1,1,0,1
112,1,18,2,7,6260,2,1,3,3,2,3,0,28,1,0,1,2,1,0,0,1
113,3,36,4,7,7855,2,2,4,4,2,2,0,25,0,2,2,1,1,1,0,2
114,0,12,2,6,1680,4,0,3,1,2,1,0,35,1,2,1,1,1,0,0,1
115,3,48,4,6,3578,1,0,4,3,2,1,0,47,1,2,1,1,1,1,0,1
116,0,42,2,6,7174,1,1,4,4,2,3,2,30,1,2,1,0,1,1,0,2
117,0,10,4,5,2132,1,3,2,4,0,3,0,27,1,0,2,1,1,0,1,1
118,0,33,4,5,4281,4,2,1,4,2,4,2,23,1,2,2,1,1,0,0,2
119,1,12,4,7,2366,4,1,3,2,2,3,2,36,1,2,1,0,1,1,0,1
120,0,21,2,6,1835,2,2,3,4,2,2,0,25,1,2,2,1,1,1,0,2
121,3,24,4,8,3868,2,0,4,4,2,2,2,41,1,0,2,0,1,1,0,1
122,3,12,2,5,1768,2,2,3,3,2,2,0,24,1,0,1,2,1,0,0,1
123,2,10,4,7,781,2,0,4,3,2,4,3,63,1,1,2,1,1,1,0,1
124,1,18,2,5,1924,1,3,4,4,2,3,0,27,1,0,1,1,1,0,0,2
125,0,12,4,7,2121,2,2,4,3,2,2,1,30,1,2,2,1,1,0,0,1
126,0,12,2,6,701,2,2,4,1,2,2,0,40,1,2,1,2,1,0,0,1
127,1,12,2,4,639,2,2,4,3,2,2,2,30,1,2,1,1,1,0,0,2
128,1,12,4,8,1860,2,4,4,3,2,2,2,34,1,2,2,0,1,1,0,1
129,0,12,4,7,3499,2,2,3,4,0,2,0,29,1,2,2,1,1,0,0,2
130,1,48,2,7,8487,1,1,1,4,2,2,2,24,1,2,1,1,1,0,0,1
131,0,36,3,1,6887,2,2,4,3,2,3,1,29,0,2,1,1,1,1,0,2
132,3,15,2,5,2708,2,3,2,3,2,3,1,27,2,2,2,2,1,0,0,1
133,3,18,2,5,1984,2,2,4,3,2,4,3,47,2,1,2,1,1,0,0,1
134,3,60,2,6,10144,3,1,2,4,2,4,0,21,1,2,1,1,1,1,0,1
135,3,12,4,6,1240,1,0,4,4,2,2,0,38,1,2,2,1,1,1,0,1
136,3,27,3,8,8613,0,2,2,3,2,2,2,27,1,2,2,1,1,0,0,1
137,1,12,2,6,766,4,2,4,3,2,3,0,66,1,2,1,2,1,0,0,2
138,1,15,4,6,2728,1,1,4,3,1,2,0,35,2,2,3,1,1,1,0,1
139,2,12,2,6,1881,2,2,2,4,2,2,2,44,1,0,1,2,1,1,0,1
140,2,6,2,7,709,0,3,2,1,2,2,0,27,1,2,1,3,1,0,1,1
141,1,36,2,6,4795,2,3,4,4,2,1,3,30,1,2,1,0,1,1,0,1
142,0,27,2,6,3416,2,2,3,3,2,2,2,27,1,2,1,0,1,0,0,1
143,0,18,2,5,2462,2,2,2,3,2,2,2,22,1,2,1,1,1,0,0,2
144,3,21,4,5,2288,2,3,4,4,2,4,1,23,1,2,1,1,1,1,0,1
145,1,48,1,10,3566,3,1,4,3,2,2,2,30,1,2,1,1,1,0,0,1
146,0,6,4,7,860,2,0,1,4,2,4,3,39,1,2,2,1,1,1,0,1
147,3,12,4,7,682,3,1,4,4,2,3,2,51,1,2,2,1,1,1,0,1
148,0,36,4,5,5371,2,2,3,3,1,2,1,28,1,2,2,1,1,0,0,1
149,3,18,4,6,1582,0,0,4,3,2,4,2,46,1,2,2,1,1,0,0,1
150,3,6,2,6,1346,3,0,2,3,2,4,3,42,2,1,1,1,2,1,0,1
151,3,10,2,6,1924,2,2,1,3,2,4,1,38,1,2,1,1,1,1,1,1
152,2,36,2,6,5848,2,2,4,3,2,1,2,24,1,2,1,1,1,0,0,1
153,1,24,4,8,7758,0,0,2,4,2,4,3,29,1,0,1,1,1,0,0,1
154,1,24,3,10,6967,3,1,4,3,2,4,2,36,1,0,1,0,1,1,0,1
155,0,12,2,5,1282,2,2,2,4,2,4,2,20,1,0,1,1,1,0,0,2
156,0,9,4,4,1288,3,0,3,3,1,4,0,48,1,2,2,1,2,0,1,1
157,0,12,1,9,339,2,0,4,1,2,1,2,45,2,2,1,2,1,0,0,1
158,1,24,2,7,3512,3,1,2,3,2,3,2,38,2,2,2,1,1,1,0,1
159,3,6,4,6,1898,1,2,1,3,2,2,0,34,1,2,2,2,2,0,0,1
160,3,24,4,6,2872,3,0,3,3,2,4,0,36,1,2,1,1,2,1,0,1
161,3,18,4,7,1055,2,3,4,4,2,1,1,30,1,2,2,1,1,0,0,1
162,3,15,2,3,1262,4,1,4,3,2,3,1,36,1,2,2,1,1,1,0,1
163,1,10,2,7,7308,2,4,2,3,2,4,3,70,2,1,1,0,1,1,0,1
164,3,36,2,7,909,4,0,4,3,2,4,1,36,1,2,1,1,1,0,0,1
165,3,6,2,5,2978,4,2,1,3,2,2,2,32,1,2,1,1,1,1,0,1
166,0,18,2,5,1131,2,4,4,4,2,2,2,33,1,2,1,1,1,0,0,2
167,1,11,2,5,1577,0,3,4,4,2,1,0,20,1,2,1,1,1,0,0,1
168,3,24,2,5,3972,2,1,2,4,2,4,1,25,1,0,1,1,1,1,0,1
169,1,24,4,10,1935,2,0,4,2,2,4,0,31,1,2,2,1,1,1,0,2
170,0,15,0,7,950,2,0,4,3,2,3,2,33,1,0,2,1,2,0,0,2
171,3,12,2,5,763,2,2,4,4,2,1,0,26,1,2,1,1,1,1,0,1
172,1,24,3,5,2064,2,4,3,4,2,2,1,34,1,2,1,0,1,1,0,2
173,1,8,2,6,1414,2,2,4,3,1,2,0,33,1,2,1,1,1,0,1,1
174,0,21,3,1,3414,2,3,2,3,2,1,1,26,1,2,2,1,1,0,0,2
175,3,30,1,8,7485,1,4,4,4,2,1,0,53,2,2,1,0,1,1,0,2
176,0,12,2,5,2577,2,2,2,2,2,1,2,42,1,2,1,1,1,0,0,1
177,0,6,4,6,338,4,0,4,3,2,4,2,52,1,2,2,1,1,0,0,1
178,3,12,2,6,1963,2,1,4,3,2,2,2,31,1,0,2,0,2,1,0,1
179,0,21,4,7,571,2,0,4,3,2,4,0,65,1,2,2,1,1,0,0,1
180,3,36,3,10,9572,2,3,1,2,2,1,2,28,1,2,2,1,1,0,0,2
181,1,36,3,10,4455,2,2,2,2,2,2,0,30,0,2,2,0,1,1,0,2
182,0,21,1,7,1647,1,2,4,3,2,2,1,40,1,2,2,2,2,0,0,2
183,3,24,4,5,3777,0,2,4,3,2,4,0,50,1,2,1,1,1,1,0,1
184,1,18,4,7,884,2,0,4,3,2,4,2,36,2,2,1,1,2,1,0,2
185,3,15,4,6,1360,2,2,4,3,2,2,1,31,1,2,2,1,1,0,0,1
186,1,9,1,8,5129,2,0,2,4,2,4,3,74,2,1,1,0,2,1,0,2
187,1,16,4,7,1175,2,4,2,3,2,3,2,68,1,1,3,3,1,1,0,1
188,0,12,2,6,674,3,1,4,1,2,1,1,20,1,2,1,1,1,0,0,2
189,1,18,0,5,3244,2,2,1,4,2,4,2,33,2,2,2,1,1,1,0,1
190,3,24,2,10,4591,0,2,2,3,2,3,1,54,1,2,3,0,1,1,0,2
191,1,48,0,10,3844,3,1,4,3,2,4,3,34,1,1,1,2,2,0,0,2
192,1,27,2,10,3915,2,2,4,3,2,2,2,36,1,2,1,1,2,1,0,2
193,3,6,2,6,2108,2,1,2,1,2,2,0,29,1,0,1,1,1,0,0,1
194,1,45,2,6,3031,3,2,4,3,1,4,1,21,1,0,1,1,1,0,0,2
195,1,9,4,1,1501,2,0,2,4,2,3,2,34,1,2,2,0,1,1,0,2
196,3,6,4,6,1382,2,2,1,4,2,1,2,28,1,2,2,1,1,1,0,1
197,1,12,2,5,951,3,3,4,4,2,4,2,27,2,0,4,1,1,0,0,2
198,1,24,2,8,2760,1,0,4,3,2,4,3,36,2,1,1,1,1,1,0,1
199,1,18,3,5,4297,2,0,4,2,2,3,3,40,1,2,1,0,1,1,0,2
200,3,9,4,1,936,4,0,4,3,2,2,2,52,1,2,2,1,1,1,0,1
201,0,12,2,7,1168,2,2,4,1,2,3,0,27,1,2,1,2,1,0,0,1
202,3,27,3,10,5117,2,1,3,3,2,4,2,26,1,2,2,1,1,0,0,1
203,0,12,2,9,902,2,1,4,1,2,4,1,21,1,0,1,1,1,0,0,2
204,3,12,4,7,1495,2,0,4,3,2,1,0,38,1,2,2,2,2,0,0,1
205,0,30,4,8,10623,2,0,3,3,2,4,3,38,1,1,3,0,2,1,0,1
206,3,12,4,5,1935,2,0,4,3,2,4,0,43,1,2,3,1,1,1,0,1
207,1,12,4,3,1424,2,1,4,3,2,3,1,26,1,2,1,1,1,0,0,1
208,0,24,2,10,6568,2,2,2,1,2,2,2,21,0,2,1,2,1,0,0,1
209,3,12,2,8,1413,0,1,3,3,2,2,1,55,1,2,1,1,1,0,1,1
210,3,9,4,6,3074,1,2,1,3,2,2,0,33,1,2,2,1,2,0,0,1
211,3,36,2,6,3835,1,0,2,4,2,4,0,45,1,2,1,2,1,1,0,1
212,0,27,0,10,5293,2,4,2,3,2,4,1,50,0,2,2,1,1,1,0,2
213,2,30,3,10,1908,2,0,4,3,2,4,0,66,1,2,1,0,1,1,0,2
214,3,36,4,6,3342,1,0,4,3,2,2,2,51,1,2,1,1,1,1,0,1
215,1,6,4,9,932,1,1,1,4,2,3,1,39,1,2,2,2,1,0,0,1
216,0,18,0,10,3104,2,1,3,3,2,1,1,31,2,2,1,1,1,1,0,1
217,2,36,2,6,3913,2,2,2,3,2,2,0,23,1,2,1,1,1,1,0,1
218,0,24,2,5,3021,2,2,2,2,2,2,0,24,1,0,1,2,1,0,0,1
219,3,10,2,7,1364,2,2,2,4,2,4,2,64,1,2,1,1,1,1,0,1
220,1,12,2,6,625,2,3,4,1,1,1,0,26,2,2,1,2,1,0,0,1
221,0,12,2,1,1200,1,2,4,4,2,4,1,23,2,0,1,1,1,1,0,1
222,3,12,2,6,707,2,2,4,3,2,2,0,30,2,2,2,1,1,0,0,1
223,3,24,3,10,2978,1,2,4,3,2,4,0,32,1,2,2,1,2,1,0,1
224,3,15,2,8,4657,2,2,3,3,2,2,2,30,1,2,1,1,1,1,0,1
225,3,36,0,4,2613,2,2,4,3,2,2,2,27,1,2,2,1,1,0,0,1
226,1,48,2,6,10961,0,1,1,3,0,2,3,27,2,2,2,1,1,1,0,2
227,0,12,2,5,7865,2,0,4,3,2,4,3,53,1,1,1,0,1,1,0,2
228,3,9,2,6,1478,2,1,4,3,2,2,2,22,1,2,1,1,1,0,0,2
229,0,24,2,5,3149,2,3,4,3,2,1,3,22,2,1,1,1,1,0,0,1
230,2,36,2,6,4210,2,2,4,3,2,2,2,26,1,2,1,1,1,0,0,2
231,3,9,2,7,2507,4,0,2,3,2,4,3,51,1,1,1,2,1,0,0,1
232,3,12,2,6,2141,3,1,3,3,2,1,3,35,1,2,1,1,1,0,0,1
233,1,18,2,6,866,2,2,4,1,1,2,0,25,1,2,1,2,1,0,0,1
234,3,4,4,6,1544,2,1,2,3,2,1,0,42,1,2,3,2,2,0,0,1
235,0,24,2,6,1823,2,4,4,3,2,2,2,30,0,2,1,0,2,0,0,2
236,1,6,2,7,14555,1,4,1,3,2,2,1,23,1,2,1,3,1,1,0,2
237,1,21,2,10,2767,3,0,4,2,2,2,2,61,2,0,2,2,1,0,0,2
238,3,12,4,6,1291,2,2,4,4,2,2,1,35,1,2,2,1,1,0,0,1
239,0,30,2,6,2522,2,0,1,3,1,3,1,39,1,2,1,1,2,0,0,1
240,0,24,2,7,915,1,0,4,4,2,2,2,29,2,2,1,1,1,0,0,2
241,3,6,2,6,1595,2,1,3,3,2,2,1,51,1,2,1,1,2,0,0,1
242,0,48,0,8,4605,2,0,3,3,2,4,3,24,1,1,2,1,2,0,0,2
243,3,12,4,10,1185,2,2,3,4,2,2,0,27,1,2,2,1,1,0,0,1
244,3,12,1,9,3447,4,2,4,4,2,3,0,35,1,2,1,2,2,0,0,1
245,3,24,2,10,1258,2,1,4,3,2,1,0,25,1,2,1,1,1,1,0,1
246,3,12,4,6,717,2,0,4,3,2,4,0,52,1,2,3,1,1,0,0,1
247,3,6,0,7,1204,3,2,4,3,2,1,3,35,2,0,1,1,1,0,1,1
